artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Eikichi Yazawa,TEN YEARS AGO (50th Anniversary Remastered),最後の恋人 (セルフカバー) - Remastered 2022,22,187986,False,0.694,0.664,0,-9.197,1,0.0297,0.0196,4.49e-05,0.0914,0.812,122.371,4,rockabilly
The Monkees,More of The Monkees (Deluxe Edition),I'm a Believer - Alternate Mix; 2006 Remaster,56,170373,False,0.549,0.716,0,-8.387,1,0.0317,0.315,0.0,0.73,0.938,79.193,4,psych-rock
John Legend,Holidays Are Coming,You Deserve It All,0,198626,False,0.524,0.739,0,-6.681,1,0.0386,0.215,0.0,0.0636,0.48,83.095,4,soul
HELLYEAH,Blood For Blood,Feast or Famine,23,200508,True,0.295,0.944,5,-3.922,0,0.164,3.98e-05,1.71e-05,0.346,0.596,124.86,4,industrial
Basho & Friends,En Español,Botas Perdidas - Lost Boots,14,127000,False,0.894,0.627,11,-6.365,1,0.0705,0.157,0.0,0.289,0.969,145.967,4,kids
Aimer,Walpurgis,春はゆく,52,305386,False,0.397,0.427,5,-6.954,0,0.0271,0.186,0.0,0.0976,0.227,80.035,4,j-rock
BiSH,CARROTS and STiCKS,MORE THAN LiKE,47,239131,False,0.449,0.981,7,-1.864,1,0.0755,0.00364,0.938,0.443,0.396,101.04,4,j-idol
Attaque 77,"Acústico,Teatro Opera, Buenos Aires, Argentina.",Arrancacorazones - Acústico en Vivo,39,226000,False,0.385,0.838,7,-6.051,1,0.0369,0.23,0.0,0.91,0.274,125.572,4,punk
EGOVERT;1nonly,Sexyback!,Sexyback!,51,122253,True,0.718,0.474,0,-7.171,1,0.32,0.0837,0.0,0.119,0.813,115.494,4,sad
Siouxsie and the Banshees,Happy Haunted Halloween Tunes,Halloween,1,221466,False,0.223,0.91,7,-7.097,1,0.08,0.0116,0.000518,0.212,0.364,171.75,4,punk-rock
Giacomo Puccini;Heinz Zednik;Ruggero Raimondi;Victor von Halem;Berliner Philharmoniker;Herbert von Karajan,Puccini: Tosca,"Tosca / Act II: Ha più forte sapore (Scarpia, Sciarrone, Spoletta)",20,163040,False,0.386,0.139,6,-19.063,0,0.0485,0.985,0.00253,0.609,0.256,103.616,4,opera
Modern Talking,The First & Second Album (30th Anniversary Edition),Cheri Cheri Lady,44,227653,False,0.678,0.778,10,-8.601,1,0.0312,0.494,0.00228,0.322,0.835,114.265,4,synth-pop
Justin Quiles;Robin Schulz,All That Really Matters - Just Hits,AEIOU,3,161880,False,0.689,0.856,5,-3.394,0,0.0813,0.0493,0.0,0.232,0.706,126.108,4,reggae
Amado Batista,É o Show,Agora ou nunca mais,44,277786,False,0.562,0.703,7,-6.413,1,0.0274,0.222,0.000671,0.898,0.475,147.096,4,sertanejo
Gian & Giovani,Top Sertanejo,Eu Busco uma Estrela - Ao Vivo,43,237506,False,0.575,0.646,0,-5.444,1,0.026,0.684,5.28e-06,0.342,0.541,90.362,4,sertanejo
Les Caméléons,Not Dead,Je suis un con,33,231849,True,0.53,0.905,6,-5.936,0,0.0949,0.00122,2.4e-05,0.152,0.654,176.001,4,french
Samba De Raiz,Samba de Raiz - Ao Vivo,Madalena do Jucú / Ô Irene - Ao Vivo,39,302560,False,0.437,0.727,0,-10.016,1,0.158,0.712,3.19e-06,0.737,0.909,120.525,4,samba
Neyhal,Lamhe Zaroori,Lamhe Zaroori,30,164518,False,0.638,0.658,10,-8.468,1,0.0278,0.575,0.0148,0.109,0.586,100.04,4,songwriter
James Hand,Stormclouds in Heaven,Stormclouds in Heaven,21,127447,False,0.508,0.599,7,-6.248,1,0.0296,0.41,0.0273,0.113,0.838,103.658,3,honky-tonk
Ralphy Santi;Tito Allen,Llegare,Como Tu,32,356640,False,0.638,0.588,5,-11.756,1,0.0357,0.626,3.12e-06,0.294,0.849,84.613,4,salsa
Jesus Culture;Chris Quilala,Fierce (Studio Version),Fierce - Studio Version,50,222186,False,0.518,0.797,2,-6.116,1,0.0418,0.000906,0.0,0.105,0.607,157.913,4,world-music
Momoiro Clover Z,ZZ's,Chai Maxx -ZZ ver.-,19,273466,False,0.598,0.96,2,-1.892,1,0.0507,0.0391,0.000116,0.0716,0.484,159.991,4,j-idol
Suburban Knight,Nocturbulous Behavior - The Mix,Night Vision,11,135600,False,0.663,0.885,10,-11.97,0,0.0401,0.0127,0.911,0.292,0.563,135.318,4,detroit-techno
Show Of Hands,Roots - The Best of Show of Hands (Digital-Only Bonus Version),Cousin Jack,29,410693,False,0.323,0.613,4,-8.605,0,0.0293,0.204,0.0,0.884,0.29,147.54,3,british
Nathan Dawe;Ella Henderson,All That Really Matters - Just Hits,21 Reasons,0,155253,False,0.621,0.785,6,-4.499,1,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,4,house
Pritam;Arijit Singh,Jab Harry Met Sejal (Original Motion Picture Soundtrack),Safar,51,365669,False,0.307,0.604,7,-5.592,1,0.0397,0.593,3.79e-06,0.0789,0.452,85.641,5,indian
Kathleen Madigan,Gone Madigan,My Family,24,646579,True,0.56,0.787,1,-5.39,0,0.912,0.843,0.0,0.801,0.488,62.633,4,comedy
Hazen Street,Hazen Street,Fool The World,31,201760,False,0.608,0.938,9,-3.136,1,0.0632,0.0207,0.0,0.645,0.82,133.028,4,hardcore
The Frights,The Frights,Hard Ticket,26,276793,False,0.366,0.816,4,-3.34,1,0.0381,0.0146,0.411,0.312,0.646,95.51,4,garage
Keyakizaka46,永遠より長い一瞬 ~あの頃、確かに存在した私たち~(Complete Edition),太陽は見上げる人を選ばない,22,283120,False,0.621,0.841,10,-5.687,1,0.0663,0.209,0.0,0.0555,0.666,127.991,4,j-idol
Kim Petras,Halloween & Alternative,Massacre,1,206815,False,0.503,0.506,0,-7.554,0,0.0332,0.0989,0.0,0.352,0.11,89.888,4,dance
Kid Francescoli,Nopalitos,Nopalitos,60,230089,False,0.607,0.583,5,-8.928,0,0.0321,0.0774,0.849,0.116,0.166,125.005,4,french
Arch Enemy,Deceivers,House of Mirrors,54,220426,False,0.35,0.941,1,-7.225,1,0.0854,3.75e-05,0.195,0.216,0.29,85.205,4,death-metal
Jethro Heston,My Love,My Love,61,156209,False,0.789,0.784,3,-4.623,0,0.0363,0.444,0.000114,0.257,0.567,126.014,4,groove
The Dynamics,After Laughter Comes Tears,After Laughter Comes Tears,19,284102,False,0.791,0.358,0,-12.384,1,0.0645,0.291,0.00644,0.156,0.78,83.007,4,afrobeat
Ruku Suna;Humane Sagar,Karmi Setting,Karmi Setting,38,345495,False,0.43,0.998,10,-2.387,0,0.392,0.29,1.16e-06,0.165,0.363,113.837,3,samba
Kathleen Madigan,Bothering Jesus,House Hunters,22,121682,False,0.483,0.878,6,-6.008,0,0.566,0.769,0.0,0.97,0.471,121.317,3,comedy
Fresno,Redenção,Desde Quando Você Se Foi,50,216226,False,0.575,0.902,6,-3.092,1,0.0321,0.077,0.0,0.359,0.601,130.024,4,brazil
Les Fatals Picards,Pamplemousse Mécanique (Edition Eurovision + 1 titre bonus),Partenaire particulier,30,163480,False,0.634,0.889,9,-3.239,1,0.0431,0.00635,0.0,0.0484,0.805,97.546,4,french
SMASH Cast,BOMBSHELL,The National Pastime (SMASH Cast Version),26,153586,False,0.635,0.519,5,-7.243,1,0.0872,0.0985,0.0,0.0864,0.491,150.068,4,show-tunes
Ray Campi,"Rockabilly Rebellion: The Very Best Of Ray Campi, Vol. 1",Rockin' At The Ritz,22,188173,False,0.752,0.733,4,-8.664,0,0.0495,0.137,0.000413,0.0825,0.734,99.635,4,rockabilly
Sujatha,Nammal Thammil (Original Motion Picture Soundtrack),Junile Nilamazhayil,21,288573,False,0.37,0.745,11,-6.199,0,0.0893,0.148,0.00126,0.0708,0.302,179.892,4,malay
Burna Boy,Twice As Tall,Bank On It,57,276536,False,0.784,0.388,1,-8.931,1,0.207,0.29,0.00539,0.0971,0.472,93.011,4,dancehall
Chubby Checker,Best of Rock 'n' Roll Music: 100 Originals from the 50s & 60s,Let's Twist Again - Radio Version,51,145786,False,0.617,0.732,3,-6.799,1,0.0362,0.0468,2.29e-06,0.0537,0.968,160.185,4,rockabilly
Eason Chan,反正是我,K歌之王,50,218050,False,0.396,0.353,2,-8.91,1,0.0298,0.731,1.1e-06,0.214,0.288,76.276,4,mandopop
Tream,Trash,Pancakes,31,161095,False,0.727,0.822,11,-4.323,1,0.0377,0.355,0.0,0.0927,0.802,146.06,4,party
Rey Ruiz,20th Anniversary,Estamos Solos,35,292666,False,0.771,0.812,4,-5.088,0,0.0396,0.441,0.0,0.0608,0.936,91.792,4,salsa
Carcass,Symphonies of Sickness,Empathological Necroticism,20,345066,True,0.252,0.847,1,-11.518,0,0.0797,1.44e-06,0.736,0.145,0.46,134.191,4,death-metal
Chuck Ragan,The Blueprint Sessions,Trenchfoot,26,236293,False,0.643,0.407,0,-6.086,1,0.0355,0.414,0.000385,0.116,0.332,132.449,3,acoustic
Atif Aslam;Tulsi Kumar,Satyameva Jayate,Paniyon Sa,56,236239,False,0.523,0.768,0,-4.953,0,0.0566,0.447,0.000226,0.0833,0.669,75.03,4,pop-film
Carajo,Carajo,Ironía,31,272666,False,0.544,0.967,6,-4.419,1,0.0374,0.000271,9.93e-06,0.138,0.303,94.958,4,heavy-metal
Lea Salonga,Bakit Labis Kitang Mahal,Tell Me,24,200881,False,0.651,0.299,0,-13.182,1,0.031,0.737,0.000111,0.0669,0.262,127.977,4,show-tunes
Slowgold,Aska,Aska,20,204678,False,0.17,0.143,7,-16.568,1,0.0387,0.773,0.272,0.215,0.0467,87.062,4,goth
Virtual Riot;PRXZM,In My Head,In My Head,46,222352,False,0.708,0.713,11,-5.39,1,0.0657,0.0555,0.00389,0.32,0.264,101.999,4,dub
The Acacia Strain,Continent,Skynet,28,262200,True,0.194,0.94,11,-5.111,1,0.168,0.00245,0.0055,0.18,0.0996,179.982,4,metalcore
Zedd;Elley Duhé,Happy Now,Happy Now,70,207029,False,0.503,0.741,4,-5.128,1,0.047,0.579,1.49e-06,0.0712,0.458,88.335,3,electro
Balbi El Chamako;Adan La Amenaza;Shelo;Luxian;Nickoog Clk,Te Busco,Te Busco,41,360000,False,0.872,0.584,11,-7.532,0,0.054,0.27,0.0,0.192,0.913,112.973,4,latino
Noisecontrollers;Union,Remix EP,Promises - Union Remix,20,208016,False,0.547,0.876,11,-6.675,0,0.0978,0.00168,0.151,0.315,0.234,149.95,4,hardstyle
Peggy Lee,Classic Christmas 2022,I Like A Sleighride (Jingle Bells),0,125613,False,0.758,0.451,6,-8.001,1,0.0375,0.75,0.0,0.0503,0.737,122.912,4,jazz
Nathan Dawe;Ella Henderson,Back to School!,21 Reasons,0,155253,False,0.621,0.785,6,-4.499,1,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,4,house
Hozier,"Wasteland, Baby!",Shrike,65,298880,False,0.506,0.275,7,-8.464,0,0.0292,0.494,0.00377,0.101,0.0639,153.769,3,singer-songwriter
Stap,Kral,Manyak,40,204375,True,0.705,0.528,8,-11.964,1,0.133,0.0527,0.000435,0.0864,0.312,139.91,4,turkish
Jessi Campbell,Dry Bar Comedy Presents: Sharpest Knife on the Porch,Grandma,21,99116,False,0.523,0.608,10,-13.92,0,0.499,0.837,0.0,0.727,0.465,87.143,4,comedy
A.N.I.M.A.L.;Mario Altamirano and A.N.I.M.A.L.,El Nuevo Camino del Hombre,Amigos,20,197026,False,0.505,0.985,4,-5.449,0,0.11,7.83e-05,0.122,0.156,0.232,112.923,4,heavy-metal
Jubin Nautiyal;Emraan Hashmi,Mumbai Saga,Lut Gaye,64,228031,False,0.638,0.785,10,-2.612,1,0.044,0.185,0.0,0.245,0.515,91.101,4,pop-film
Lucky Daye,Best R&B Tunes,"Running Blind - From ""Liberated / Music For the Movement Vol. 3""",0,193070,True,0.724,0.659,3,-5.735,0,0.0574,0.0195,0.00214,0.0535,0.475,134.953,5,indie-pop
Stan Getz;Astrud Gilberto;João Gilberto,The Greatest Jazz Mix,"It Might As Well Be Spring - Live At Carnegie Hall, NY / 1964",0,264706,False,0.361,0.116,3,-18.774,0,0.0432,0.924,3.57e-06,0.739,0.387,84.414,4,samba
Ten City;Louie Vega,That's The Way Love Is (Louie Vega Remix),That's The Way Love Is - Louie Vega Remix,13,182042,False,0.71,0.904,4,-4.815,0,0.0507,0.00181,0.0232,0.0739,0.944,127.012,4,chicago-house
Olivia Rodrigo,SOUR,drivers license,88,242013,True,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4,pop
Born Of Osiris,Tomorrow We Die Alive,Machine,49,264773,False,0.443,0.991,1,-3.458,1,0.281,0.00398,0.000579,0.106,0.0519,155.045,4,metalcore
Rahul Rajeev;Blesson Thomas,Mizhikalkkinnenthu Velicham,Mizhikalkkinnenthu Velicham,27,84121,False,0.695,0.216,4,-10.677,1,0.0385,0.764,0.0,0.362,0.488,79.497,4,malay
Alter Bridge,Sin After Sin,Sin After Sin,52,402328,False,0.383,0.819,1,-6.233,1,0.0755,7.47e-05,0.00012,0.162,0.36,119.109,4,grunge
Alejo;Feid;ROBI,Halloween con perreito,Pantysito,0,240413,True,0.83,0.739,7,-5.395,0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,4,latino
Mrs. GREEN APPLE,Mrs. GREEN APPLE,うブ,35,255893,False,0.457,0.893,6,-1.926,1,0.0567,5.01e-05,0.000195,0.336,0.614,155.062,4,j-rock
Andrea Bocelli,Sogno,A mio padre,21,237013,False,0.468,0.318,9,-14.52,0,0.0362,0.89,0.474,0.185,0.241,194.006,4,opera
The J. Geils Band,R'n'B Studying,On Borrowed Time,0,184373,False,0.511,0.42,2,-7.686,1,0.0418,0.633,0.000267,0.0417,0.405,129.544,3,country
Chelsea Cutler,Your Shirt,Your Shirt,63,230000,False,0.433,0.478,2,-6.641,1,0.0725,0.191,0.0,0.32,0.173,179.98,4,indie-pop
Saindhavi;G. V. Prakash,Mayakkam Enna,Pirai Thedum,68,332711,False,0.638,0.631,4,-6.993,0,0.0353,0.624,0.0144,0.074,0.46,119.973,4,pop-film
J Balvin,Halloween 2022 Pop Vol. 5,Rosa,3,190253,False,0.637,0.583,9,-5.686,0,0.258,0.258,8.19e-05,0.367,0.305,176.025,4,latino
Pazoo;NoooN;Hello Ellie,Layla sitzt dicht im Flieger,Dubi Dam Dam,0,126428,False,0.708,0.928,0,-6.034,1,0.0326,0.0033,0.000135,0.334,0.903,140.022,4,party
Quest,Kobiety nie zrozumiesz (Radio Edit),Kobiety nie zrozumiesz - Radio Edit,31,190271,False,0.752,0.932,7,-3.965,1,0.13,0.0518,0.0,0.335,0.969,140.025,4,disco
Tensnake;Nazzereene,L.A.,Latching Onto You,51,186977,False,0.73,0.797,6,-5.759,0,0.0871,0.0185,5.02e-05,0.241,0.538,97.964,4,disco
Nujabes;Cise Star;Akin Yai,Modal Soul,Feather (feat. Cise Starr & Akin from CYNE),63,175360,False,0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,4,chill
John Mayer,Continuum,Gravity,72,245826,False,0.753,0.326,7,-9.883,1,0.0342,0.731,0.00131,0.24,0.237,123.799,3,singer-songwriter
Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,Clásicos de ahora: Perreo,La Llevo Al Cielo,0,254920,True,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023,4,latino
Matheus & Kauan,Na Praia 2 (Ao Vivo),Vim Pra Ficar - Ao Vivo,47,206673,False,0.569,0.664,0,-5.703,1,0.223,0.672,0.0,0.742,0.476,144.754,4,sertanejo
White Noise for Babies,Sea of White Noise,The Choir,0,185760,False,0.187,0.38,4,-12.22,1,0.0346,0.883,0.995,0.175,0.0358,79.347,4,sleep
Boombox Cartel;Reese LAFLARE,Cartel II,Fatal Attraction (feat. Reese LAFLARE),53,270000,True,0.453,0.736,11,-6.269,0,0.229,0.204,4.18e-06,0.105,0.288,160.018,4,electronic
PRIME,U.S.S.O,Maradoué,33,217364,False,0.611,0.642,1,-9.964,1,0.446,0.0848,7.25e-06,0.0652,0.572,80.422,4,french
Bobby Brown,Pop & Halloween,"On Our Own - From ""Ghostbusters II"" Soundtrack",0,294413,False,0.66,0.9,2,-6.206,1,0.0422,0.00352,0.0,0.0629,0.565,101.801,4,funk
Mc Felipe Boladão,Mundo Moderno,Mundo Moderno,42,111046,True,0.81,0.848,5,-4.949,1,0.348,0.573,0.0,0.183,0.891,130.047,4,funk
Pense,"Realidade, Vida e Fé",Utopia,31,193157,False,0.58,0.982,1,-4.895,1,0.102,0.000289,7.73e-06,0.497,0.802,114.0,4,hardcore
Gost,Non Paradisi,Unum Infernum,20,248760,False,0.485,0.934,0,-2.473,1,0.113,0.000151,0.811,0.379,0.219,68.51,4,club
arai tasuku;World's End Girlfriend,0,0 (Remixed by world's end girlfriend),10,438000,False,0.331,0.597,3,-9.267,1,0.106,0.831,0.204,0.119,0.198,112.511,4,idm
Burna Boy,Hip Hop & R'n'B,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dance
Vishal Dadlani;Alyssa Mendonsa,Break Ke Baad,Adhoore,60,264210,False,0.799,0.542,0,-7.142,1,0.0308,0.0858,1.5e-06,0.126,0.673,107.993,4,pop-film
Susperia,Unlimited,Home Sweet Hell,18,284586,True,0.431,0.943,7,-4.923,1,0.073,3.8e-06,0.00098,0.337,0.369,135.01,4,black-metal
Johann Sebastian Bach;Lang Lang,Classical Christmas 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
The Browning,Burn This World,Forgotten,22,174200,False,0.412,0.983,8,-4.296,1,0.0914,2.08e-05,0.213,0.255,0.307,150.009,4,death-metal
Project AER;cxlt.,Growth Patterns,A Better Place,54,119999,False,0.496,0.255,9,-17.984,1,0.0283,0.937,0.845,0.0909,0.0809,141.961,4,guitar
Hardcore Masif;Weaver;Steve Hill,Everyday (Technikore Mix) / Not Alone (Weaver & Steve Hill Mix),Not Alone (Weaver & Steve Hill Mix),24,357302,False,0.416,0.973,7,-5.621,0,0.0586,0.00882,0.531,0.344,0.186,169.005,4,happy
The Bloody Hollies,Fire at Will,Tired of This Shit,25,123666,False,0.176,0.968,11,-2.735,1,0.112,0.0042,0.000353,0.119,0.562,178.167,4,garage
David Bisbal,Halloween 2022 Pop Vol. 2,Diez Mil Maneras,0,212028,False,0.665,0.765,0,-6.036,1,0.0316,0.13,0.0,0.0831,0.744,153.984,4,spanish
The Wiggles,Yummy Yummy,Numbers Rhumba,28,108760,False,0.798,0.619,2,-7.635,1,0.0396,0.108,0.114,0.0813,0.778,129.947,4,children
Iván Ferrús,Ice Wolf,Sailing,19,386925,False,0.497,0.255,5,-16.721,1,0.0344,0.979,0.932,0.112,0.159,119.943,4,black-metal
Breaking Benjamin,Phobia (Clean Version),Breath,67,218466,False,0.347,0.868,5,-4.145,0,0.0467,0.00012,0.000273,0.0845,0.313,182.851,4,grunge
Sophie Pecora,I'm in a Rut,I'm in a Rut,43,178277,False,0.836,0.601,4,-5.54,1,0.0619,0.73,0.0,0.0978,0.564,123.969,4,songwriter
HPY DAYZ,Slow Down,Slow Down,35,187700,False,0.768,0.169,10,-12.003,0,0.058,0.941,0.842,0.132,0.372,77.997,4,study
Marcos Antônio,Eterno Dependente,Pai,47,330804,False,0.655,0.574,6,-7.261,0,0.031,0.327,0.0,0.366,0.577,117.048,4,gospel
Astor Piazzolla,Piazzolla Tangos 6,Remembrance,21,289520,False,0.199,0.374,9,-7.667,0,0.03,0.844,0.613,0.266,0.133,80.425,4,tango
Mc Lipi,Conselho dos Mais Velhos,Conselho dos Mais Velhos,44,177000,False,0.776,0.735,10,-5.237,0,0.286,0.242,0.0,0.0919,0.612,169.987,4,funk
Alessia Cara,pov: you are walking in a winter wonderland,Make It To Christmas,0,211013,False,0.535,0.522,2,-7.87,1,0.0363,0.131,0.0,0.438,0.305,77.054,4,electro
Samuel Kim,Attack on Titan: Epic Collection,Attack on Titan Theme,45,302006,False,0.268,0.754,10,-6.871,0,0.0609,0.384,0.759,0.147,0.148,125.008,4,anime
Broilers,(sic!),Nur ein Land,35,196063,False,0.417,0.966,0,-5.042,0,0.28,0.00806,0.0,0.377,0.198,179.971,4,ska
Pearl Jam,Pearl Jam,Come Back,54,326040,False,0.296,0.563,5,-5.58,1,0.029,0.0936,5.93e-05,0.116,0.267,167.412,3,grunge
Juan D'Arienzo;Héctor Mauré,Pensalo bien,Amarras,19,208760,False,0.569,0.368,2,-7.004,1,0.0487,0.99,0.15,0.315,0.638,123.181,4,tango
George Jones,George Jones - Duets From Musicor Records (Original Musicor Records Recordings),Long As We're Dreaming,9,166000,False,0.64,0.281,4,-12.505,1,0.0257,0.869,0.0,0.172,0.551,101.591,4,honky-tonk
Alessia Cara,Best Christmas Playlist Ever 2022,Make It To Christmas,0,211013,False,0.535,0.522,2,-7.87,1,0.0363,0.131,0.0,0.438,0.305,77.054,4,electro
Jimmy Eat World,Mirando las nubes,The Middle,0,166040,False,0.644,0.848,2,-5.385,1,0.0529,0.0358,0.0,0.0676,0.928,162.151,4,emo
The Black Keys,Brothers (Deluxe Remastered Anniversary Edition),Howlin' for You,66,191956,False,0.725,0.747,11,-5.545,1,0.0876,0.0272,0.0468,0.104,0.38,132.921,4,blues
DeadSquad,Profanatik,Anatomi Dosa,22,209093,False,0.396,0.939,1,-5.604,1,0.543,0.0014,0.256,0.226,0.135,143.958,4,death-metal
chloe moriondo,Daily Pop Mix,Fruity,0,192933,False,0.672,0.648,7,-5.964,1,0.0308,0.00486,3.74e-05,0.212,0.627,128.004,4,indie-pop
M. S. Subbulakshmi,Sri Venkatesa Suprabhatham,Sri Venkateshwara Suprabhatham,48,1240944,False,0.605,0.408,7,-7.678,1,0.495,0.955,0.0,0.419,0.798,85.498,3,classical
Karunya,Chirutha,Endhuko Pichi Pichi,58,271910,False,0.863,0.851,4,-6.167,0,0.191,0.103,1.38e-05,0.197,0.652,123.951,4,indie
Zachary Knowles,cherry wine,cherry wine,48,188499,False,0.595,0.305,1,-10.534,0,0.0336,0.88,1.29e-06,0.119,0.427,147.863,4,chill
The Alarm,Standards,Rescue Me,24,200333,False,0.574,0.844,6,-9.179,1,0.0337,0.0275,0.0,0.333,0.754,133.141,4,synth-pop
Teoman,Best Viral Tunes,Paramparça,0,232533,False,0.701,0.794,11,-4.679,1,0.0533,0.202,0.0,0.426,0.82,94.986,4,turkish
Yasser Desai,Jashne Amade Rasool,Jashne-Amade Rasool,4,115691,False,0.364,0.135,3,-14.363,0,0.0313,0.862,0.0,0.114,0.294,77.005,1,pop-film
The Agonist,Five,The Hunt,21,215546,False,0.377,0.935,7,-6.516,1,0.0531,0.000167,0.0035,0.0493,0.369,170.0,4,death-metal
Alphaville,Forever Young (Super Deluxe Edition; 2019 Remaster),Big in Japan - 2019 Remaster,65,284625,False,0.757,0.596,7,-8.039,1,0.0339,0.0409,0.0447,0.171,0.195,97.769,4,synth-pop
Carcass,Heartwork (Ultimate Edition),Buried Dreams - Demo,19,246480,False,0.209,0.811,4,-15.643,1,0.117,1.91e-06,0.902,0.0903,0.264,130.983,4,grindcore
Billie Eilish,Halloween Party 2022,all the good girls go to hell,3,168839,False,0.854,0.446,1,-8.957,0,0.198,0.313,0.215,0.156,0.57,92.545,4,electro
Los Enanitos Verdes,Triste Hora,Igual Que Ayer,0,290160,False,0.62,0.788,7,-8.646,1,0.0276,0.018,0.0,0.369,0.856,137.129,4,alternative
Slaughter to Prevail,Kostolom,Demolisher,60,216000,True,0.209,0.991,1,-1.876,1,0.356,0.000407,0.000501,0.307,0.0659,199.865,4,death-metal
KSHMR;Bassjackers;Sirah,Memories (feat. Sirah) [Radio Edit],Memories (feat. Sirah) - Radio Edit,51,185639,False,0.519,0.731,8,-5.009,0,0.0504,0.0359,1.33e-05,0.784,0.301,128.066,4,progressive-house
Guns N' Roses,Use Your Illusion I,Don't Cry (Original),78,283733,False,0.456,0.59,11,-8.638,1,0.0327,0.00182,0.00379,0.104,0.243,124.635,4,metal
Enrico Sangiuliano,Sound Of Space EP,The Sound Of Space,56,498461,False,0.707,0.893,7,-7.449,1,0.0543,0.00712,0.819,0.0802,0.159,130.009,4,minimal-techno
iyla,Sad Bitch Bad Bitch,Sad Bitch Bad Bitch,55,174005,True,0.722,0.476,1,-4.974,0,0.0342,0.39,0.0,0.102,0.291,129.96,4,chill
Lorne Balfe,Black Adam (Original Motion Picture Soundtrack),Introducing the JSA,26,280822,False,0.333,0.587,7,-11.992,0,0.0429,0.0449,0.884,0.119,0.045,93.438,4,british
wavcrush,tile & error,paint,25,152000,False,0.739,0.441,10,-8.036,1,0.0356,0.119,0.489,0.108,0.235,89.997,4,study
Linkin Park,Meteora (Bonus Edition),From the Inside,67,173933,False,0.466,0.965,1,-2.597,0,0.0904,0.042,0.0,0.101,0.453,95.028,3,alternative
Nature Sounds,Sleep Rain Sounds,Night Rain for Sleep,0,128190,False,0.166,0.998,11,-27.053,0,0.0403,0.993,0.646,0.952,1e-05,81.46,4,sleep
Moğollar,Moğollar'94,Dinleyiverin Gayri,38,235199,False,0.768,0.485,1,-13.449,0,0.0685,0.142,1.92e-06,0.269,0.838,115.866,4,turkish
Anil Raveendran;Girish Narayanan,Ammathanal,Ammathanal,25,271578,False,0.605,0.502,2,-8.451,1,0.0322,0.856,1.05e-05,0.0982,0.348,113.842,3,malay
Alan Fitzpatrick,Brian's Proper Dun One,Brian's Proper Dun One,39,429321,False,0.761,0.965,1,-7.994,1,0.0686,0.00409,0.875,0.11,0.0439,125.998,4,minimal-techno
Jacob's Piano,"G Minor Bach (From ""Piano Tiles 2"")","G Minor Bach (From ""Piano Tiles 2"")",50,200000,False,0.252,0.27,0,-19.12,0,0.0324,0.975,0.917,0.118,0.224,83.947,4,piano
Warcry,Donde el Silencio Se Rompió...,Resistencia,27,275866,False,0.462,0.849,3,-6.026,0,0.0446,0.000152,0.00116,0.223,0.511,148.0,4,spanish
Traditional;Academy of St Martin in the Fields Chorus;Academy of St. Martin in the Fields;Sir Neville Marriner,Weihnachten Klassik 2022,Sussex Carol (On Christmas Night),0,90373,False,0.386,0.212,7,-18.032,1,0.0407,0.989,0.0092,0.298,0.732,67.315,3,sleep
Teejay,Entanglement,Entanglement - Raw,22,214857,True,0.849,0.696,10,-5.077,0,0.0496,0.0812,9.25e-06,0.0619,0.536,104.976,4,j-dance
The Gathering,Beautiful Distortion,Weightless,24,350587,False,0.549,0.431,6,-13.118,0,0.0331,0.166,0.626,0.107,0.265,124.035,4,goth
Almafuerte,Ultimando (Cotidiafonos Volumen 1),T.C,21,153506,False,0.219,0.978,9,-2.778,1,0.149,0.000139,0.000343,0.377,0.429,153.752,4,heavy-metal
Brenda Lee,Happy Country Christmas,Rockin' Around the Christmas Tree - Re-Recorded Version,0,126146,False,0.682,0.641,8,-8.904,1,0.0384,0.564,0.0,0.224,0.824,141.003,4,rockabilly
Comaduster,Darker Matter (Deluxe Edition),Pyramids,8,242933,False,0.283,0.4,6,-12.274,0,0.0604,0.256,0.816,0.0721,0.0603,134.06,4,idm
Lil Yung Pharaoh,"I Hate You, But I Love You","I Hate You, But I Love You",50,132951,False,0.462,0.371,10,-11.201,1,0.0522,0.503,0.0,0.135,0.255,139.637,4,emo
Jacob David,Mursejler,Mursejler,48,178000,False,0.475,0.068,7,-31.32,0,0.0345,0.942,0.899,0.124,0.252,116.881,4,piano
